small_file,large_file,target_scale,nSSD_NN,nSSD_Bilinear
im01small.png,im01.png,4.00,0.01205795,0.01018712
im02small.png,im02.png,4.00,0.00419004,0.00291469
im03small.png,im03.png,4.00,0.00752979,0.00563365
