small_file,large_file,scale,RMSE_NN,RMSE_Bilinear
im01small.png,im01.png,4.00,11.6734,10.7297
im02small.png,im02.png,4.00,5.1426,4.2891
im03small.png,im03.png,4.00,8.5549,7.1370
taylor_small.jpg,taylor.jpg,5.00,15.4282,14.9120
