small_file,large_file,scale,SSD_NN,SSD_BL,nSSD_energy_NN,nSSD_energy_BL,nSSD_MSE_NN,nSSD_MSE_BL
im01small.png,im01.png,4.00,847702528,715963392,0.01205795,0.01018406,136.26905823,115.09185028
im02small.png,im02.png,4.00,182795248,126806936,0.00419004,0.00290667,26.44607162,18.34591103
im03small.png,im03.png,4.00,709908928,533486080,0.00766784,0.00576227,67.60765076,50.80615234
taylor_small.jpg,taylor.jpg,5.00,399887232,374538144,0.00558430,0.00523030,238.02810669,222.93937683
